codigo_region,nombre_region,codigo_provincia,nombre_provincia,codigo_comuna,nombre_comuna,poblacion,pobreza_personas,pobreza_porcentaje,pobreza_porcentaje_inf,pobreza_porcentaje_sup,presencia_de_la_comuna_en_la_muestra_casen,tipo_de_estimacion_sae
5,Valparaíso,55,Quillota,5502,Calera,53921,10817.001571274,0.2006083264641605,0.1605273336375569,0.2406893192907641,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,55,Quillota,5503,Hijuelas,19503,3860.891832390539,0.1979639969435748,0.1491057551349604,0.2468222387521892,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,55,Quillota,5504,La Cruz,28149,4316.270796305993,0.1533365588939569,0.1159311699635842,0.1907419478243297,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,55,Quillota,5506,Nogales,23651,4791.685592564059,0.2025997037150251,0.1574492209571486,0.2477501864729016,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,56,San Antonio,5601,San Antonio,98746,19777.27901752904,0.2002843559995245,0.164694432453563,0.2358742795454859,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,56,San Antonio,5602,Algarrobo,16151,2102.676119799735,0.1301886025509092,0.08939824701541779,0.1709789580864007,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,56,San Antonio,5603,Cartagena,27229,7641.587893209749,0.2806415179848599,0.234011504416839,0.3272715315528807,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,56,San Antonio,5604,El Quisco,18931,3526.511450184055,0.1862823649138479,0.1410545197167153,0.2315102101109805,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,56,San Antonio,5605,El Tabo,15272,3207.274572951133,0.2100101213299589,0.161680345080347,0.2583398975795709,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,56,San Antonio,5606,Santo Domingo,12673,1584.387060374909,0.1250206786376477,0.08718384761221805,0.1628575096630773,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,87137,17693.01176872316,0.2030482087829872,0.1658070730655015,0.240289344500473,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,15765,2790.27999393872,0.1769920706589737,0.1322156670891489,0.2217684742287985,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,27350,4644.939364939672,0.1698332491751251,0.1279541203998735,0.2117123779503767,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,7868,1202.586476451841,0.1528452562851857,0.1107645145988926,0.1949259979714788,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,18029,4049.498710546279,0.2246102784705906,0.1753000014737323,0.273920555467449,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,17024,2534.898624557195,0.148901469957542,0.1104788797535487,0.1873240601615352,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,58,Marga Marga,5801,Quilpué,174172,30680.87640879162,0.1761527479089154,0.1471343610485135,0.2051711347693174,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,58,Marga Marga,5802,Limache,51821,10545.40242292383,0.20349669869211,0.1638628958778444,0.2431305015063757,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,58,Marga Marga,5803,Olmué,20353,4478.957303527615,0.2200637401625124,0.1688579310997931,0.2712695492252317,Sí,Directa y Sintética (Fay-Herriot)
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,148166,23190.39854946778,0.1565163299911436,0.1253703207782776,0.1876623392040095,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,275236,50191.84728877254,0.1823593108778377,0.1617086195986629,0.2030100021570125,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,14671,2035.414021342876,0.1387372381802792,0.09927987012132604,0.1781946062392324,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,8043,1514.409678573251,0.1882891556102512,0.144637029289491,0.2319412819310114,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,22229,4086.595265984431,0.1838407155510563,0.1415050402739237,0.226176390828189,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,23736,3727.098503304685,0.1570230242376426,0.119836684631393,0.1942093638438922,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,38341,6757.198963717253,0.1762395076736979,0.1389542441845722,0.2135247711628237,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,27805,5231.320455762908,0.1881431561144725,0.1453555820770499,0.2309307301518951,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,65188,8215.928311587884,0.1260343669323784,0.09338698774784535,0.1586817461169115,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,14315,2632.642994471258,0.1839079982166439,0.1411885445357401,0.2266274518975477,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,28659,4769.049562752602,0.1664066981664609,0.1275725107422916,0.2052408855906301,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,15053,1889.551306189321,0.1255265599009713,0.09238699597184631,0.1586661238300963,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,15036,2479.361479074507,0.1648950172302811,0.1240836171569321,0.2057064173036302,Sí,Directa y Sintética (Fay-Herriot)
